"20/04/2023","113947","48111","0","305,00 €","CCTV","11","(nicht gesetzt)","82","4","139","OFERTA DE MANTENIMIENTO SISTEMA DE CCTV EXISTENTE","Cl. potenc.","62715","5","16/05/2023","","COMUNIDA","","5","","28007"
"20/04/2023","5262","48110","0","493,00 €","EXT","11","(gesetzt)","82","","82","INSTALACION DE EXTINTORES Y CONTRATO DE REVISION ANUAL","Cliente","62736","1","","","COMERCIO","05/05/2023","4","36686","45214"
"20/04/2023","113949","48109","0","4.200,71 €","AL-CCT","11","(nicht gesetzt)","82","2","82","SISTEMA SEGURIDAD PARA SELF-STORAGE, ALARMA ALTA SEGURIDAD INTEGRADA","Cl. potenc.","62735","1","08/05/2023","","COMERCIO","","5","",""
"20/04/2023","109433","48108","0","1.820,70 €","CCTV","2","(nicht gesetzt)","139","5","139","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD DE 5MP CON","Cl. potenc.","62731","1","04/09/2023","","COMUNIDA","","4","","28038"
"20/04/2023","110949","48107","0","1.410,00 €","ALARMA","11","(nicht gesetzt)","82","17","82","SISTEMA DE SEGURIDAD INTELIGENTE MULTIFUNCION JABLOTRON GRADO 2","Cl. potenc.","62730","1","05/05/2023","","CHALET","","5","","28015"
"20/04/2023","5262","48087","1","0,00 €","INCEND","11","(nicht gesetzt)","82","5","82","OFERTA MANTENIMIENTO SISTEMA DE INCENDIO","Cliente","62708","5","26/04/2023","","COMERCIO","05/05/2023","6","36685","45214"
"20/04/2023","113921","48056","1","5.576,35 €","CCTV","5","(nicht gesetzt)","139","5","139","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD DE 5MP CON","Cl. potenc.","62634","1","20/04/2023","","COMUNIDA","","4","","28022"
"20/04/2023","13758","45251","1","2.584,50 €","CCTV","2","(gesetzt)","139","","139","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD DE 5MP GRABACION EN","Cliente","58668","1","","","COMUNIDA","08/05/2023","4","36695","28100"
"19/04/2023","113930","48106","0","1.359,00 €","CCTV","2","(nicht gesetzt)","82","4","82","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD 5 MP CON GRABACION,","Cl. potenc.","62660","1","14/07/2023","","COMUNIDA","","4","","28041"
"19/04/2023","113944","48105","0","1.859,00 €","CCTV","5","(nicht gesetzt)","82","14","82","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD 5 MP CON GRABACION,","Cl. potenc.","62710","1","19/05/2023","","COMUNIDA","","4","","28045"
"19/04/2023","11515","48104","0","0,00 €","ALARMA","11","(gesetzt)","82","","82","PLAN RENOVE: MEJORAS EN EL SISTEMA DE ALARMA. SUSTITUCION DE CENTRAL","Cliente","62728","12","","","COMUNIDA","24/04/2023","8","36648","28691"
"19/04/2023","12192","48103","0","0,00 €","ALARMA","11","(gesetzt)","183","","82","SISTEMA DE SEGURIDAD INTELIGENTE MULTIFUNCION GRADO 2","Cliente","62727","1","","","HOSTELER","24/04/2023","5","36644","28350"
"19/04/2023","11912","48102","0","255,00 €","CCTV","11","(gesetzt)","82","","82","SUSTITUCION DE GRABADOR ESTROPEADO 4 ENTRADAS","Cliente","62726","12","","","COMERCIO","20/04/2023","5","36635","28931"
"19/04/2023","12072","48101","0","135,00 €","CCTV","11","(gesetzt)","82","","82","SUSTITUCION CAMARA 3 ESTROPEADA","Cliente","62725","12","","","COMUNIDA","20/04/2023","5","36636","28055"
"19/04/2023","13667","48100","0","0,00 €","ALARMA","2","(nicht gesetzt)","82","4","82","SISTEMA DE SEGURIDAD INTELIGENTE MULTIFUNCION GRADO 2","Cliente","62724","13","20/04/2023","","HOSTELER","","8","","28038"
"19/04/2023","10752","48099","0","59,00 €","ALARMA","11","(gesetzt)","82","","82","SUSTITUCION DE TRANSMISOR ESTROPEADO","Cliente","62722","12","","","NAVE","24/04/2023","5","36645","28224"
"19/04/2023","113932","48098","0","7.890,00 €","CACCE","5","(nicht gesetzt)","139","4","82","INSTALACION DE SISTEMA DE CONTROL DE ACCESOS PARA PUERTAS PEATONALES","Cl. potenc.","62721","1","14/06/2023","","COMUNIDA","","4","","28938"
"19/04/2023","11845","48097","0","980,00 €","ALARMA","11","(gesetzt)","139","","139","EQUIPOS QUE FALTAN PARA COMPLETAR LA INSTALACION","Cliente","62718","3","","","CHALET","19/04/2023","7","36629","28223"
"19/04/2023","13351","48096","0","960,00 €","CCTV","11","(gesetzt)","82","","82","SUSTITUCION DE 4 DOMOS IP","Cliente","62717","12","","","COMER.GR","19/04/2023","5","36628","28008"
"19/04/2023","14053","48095","0","19.118,70 €","CCTV","2","(nicht gesetzt)","139","4","139","PROYECTO DE INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD DE 5 MP","Cliente","62716","1","12/05/2023","","COMUNIDA","","4","","28660"
"19/04/2023","11914","47848","3","54.453,60 €","ACCCA","11","(gesetzt)","139","","139","PROYECTO DE SISTEMAS DE ALTA SEGURIDAD DE ALARMA, VIDEO VIGILANCIA Y","Cliente","62277","1","","","NAVE","27/04/2023","4","36665","28042"
"19/04/2023","13742","47457","1","7.931,00 €","CCTV","2","(gesetzt)","139","","139","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD 5 MP CON GRABACION,","Cliente","61852","1","","","COMUNIDA","19/04/2023","4","36630","28108"
"18/04/2023","113929","48094","0","3.254,45 €","CCTV","5","(nicht gesetzt)","139","4","139","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD DE 5MP CON","Cl. potenc.","62659","1","14/06/2023","","COMUNIDA","","4","","28007"
"18/04/2023","113934","48093","0","7.632,35 €","CCTV","5","(nicht gesetzt)","139","5","139","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD DE 5MP CON","Cl. potenc.","62673","1","09/05/2023","","COMUNIDA","","4","","28914"
"18/04/2023","13754","48092","0","2.852,00 €","CCTV","2","(gesetzt)","139","","139","INSTALACION DE SISTEMA DE VIDEO VIGILANCIA FULL HD DE 5MP CON","Cliente","62672","1","","","COMUNIDA","28/04/2023","4","36670","28470"
"18/04/2023","113945","48091","0","300,00 €","ALARMA","3","(nicht gesetzt)","82","5","82","SISTEMA DE SEGURIDAD INTELIGENTE MULTIFUNCION GRADO 2","Cl. potenc.","62713","1","18/04/2023","","PISO","","7","",""
"18/04/2023","113945","48090","0","0,00 €","ALARMA","3","(nicht gesetzt)","82","4","82","SISTEMA DE SEGURIDAD INTELIGENTE MULTIFUNCION GRADO 2","Cl. potenc.","62712","1","26/04/2023","","PISO","","5","",""
"18/04/2023","113857","48089","0","429,00 €","CCTV","5","(nicht gesetzt)","139","4","139","INSTALACION DE GRABADOR NUEVO DE ULTIMA GENERACION FULL HD 6MP","Cl. potenc.","62711","1","25/05/2023","","COMUNIDA","","5","","28906"
"18/04/2023","5262","48088","0","0,00 €","EX-BIE","11","(gesetzt)","82","","82","OFERTA MANTENIMIENTO SISTEMA DE EXTINCION","Cliente","62709","5","","","COMERCIO","05/05/2023","6","36684","45214"
"18/04/2023","5262","48087","0","0,00 €","INCEND","11","(nicht gesetzt)","82","5","82","OFERTA MANTENIMIENTO SISTEMA DE INCENDIO","Cliente","62708","5","26/04/2023","","COMERCIO","05/05/2023","6","36685","45214"
"18/04/2023","113943","48086","0","654,60 €","CCTV","5","(nicht gesetzt)","82","","82","INSTALACION DE CAMARAS WIFI CON TARJETA DE MEMORIA PARA PLAZA GARAJE","Cl. potenc.","62707","1","26/04/2023","","COMUNIDA","","5","",""
"18/04/2023","10291","48085","0","160,00 €","CCTV","11","(nicht gesetzt)","82","4","82","OFERTA INSTALACION DE ROUTER PARA CONTROL DEL SISTEMA DE CCTV","Cliente","62703","3","26/04/2023","","COMUNIDA","","5","","28690"
